dataset,dataset_key,model,model_display,shots,f1_score,accuracy,color,linestyle,marker
IMDB Binary Sentiment,imdb,deepseek-r1:8b,deepseek-r1:8b,0,92.24724104048202,88.96551724137932,#9467bd,-,o
IMDB Binary Sentiment,imdb,deepseek-r1:8b,deepseek-r1:8b,5,92.39766199978044,90.80459770114943,#9467bd,-,o
IMDB Binary Sentiment,imdb,deepseek-r1:8b,deepseek-r1:8b,10,95.7129772870734,95.17241379310344,#9467bd,-,o
IMDB Binary Sentiment,imdb,deepseek-r1:8b,deepseek-r1:8b,20,93.4682717511922,92.183908045977,#9467bd,-,o
IMDB Binary Sentiment,imdb,deepseek-r1:8b,deepseek-r1:8b,30,90.356080274259,89.65517241379311,#9467bd,-,o
IMDB Binary Sentiment,imdb,deepseek-r1:8b,deepseek-r1:8b,40,88.71754035576164,86.66666666666667,#9467bd,-,o
IMDB Binary Sentiment,imdb,deepseek-r1:8b,deepseek-r1:8b,50,90.21892566782141,88.73563218390804,#9467bd,-,o
IMDB Binary Sentiment,imdb,deepseek-r1:14b,deepseek-r1:14b,0,95.82507740285968,95.17241379310344,#8c564b,--,s
IMDB Binary Sentiment,imdb,deepseek-r1:14b,deepseek-r1:14b,5,95.85555721261537,95.86206896551724,#8c564b,--,s
IMDB Binary Sentiment,imdb,deepseek-r1:14b,deepseek-r1:14b,10,95.97048079461152,95.86206896551724,#8c564b,--,s
IMDB Binary Sentiment,imdb,deepseek-r1:14b,deepseek-r1:14b,20,97.46939932916352,97.47126436781608,#8c564b,--,s
IMDB Binary Sentiment,imdb,deepseek-r1:14b,deepseek-r1:14b,30,96.32183908045975,96.32183908045975,#8c564b,--,s
IMDB Binary Sentiment,imdb,deepseek-r1:14b,deepseek-r1:14b,40,97.10842267837447,96.7816091954023,#8c564b,--,s
IMDB Binary Sentiment,imdb,deepseek-r1:14b,deepseek-r1:14b,50,97.2245149261928,97.01149425287356,#8c564b,--,s
IMDB Binary Sentiment,imdb,deepseek-r1:32b,deepseek-r1:32b,0,96.03764592899373,94.71264367816093,#1f77b4,-.,^
IMDB Binary Sentiment,imdb,deepseek-r1:32b,deepseek-r1:32b,5,95.49073986477846,94.94252873563218,#1f77b4,-.,^
IMDB Binary Sentiment,imdb,deepseek-r1:32b,deepseek-r1:32b,10,96.42444041137328,96.0919540229885,#1f77b4,-.,^
IMDB Binary Sentiment,imdb,deepseek-r1:32b,deepseek-r1:32b,20,95.11328163669364,94.02298850574712,#1f77b4,-.,^
IMDB Binary Sentiment,imdb,deepseek-r1:32b,deepseek-r1:32b,30,96.17467771811327,95.40229885057472,#1f77b4,-.,^
IMDB Binary Sentiment,imdb,deepseek-r1:32b,deepseek-r1:32b,40,97.10713118892753,96.55172413793103,#1f77b4,-.,^
IMDB Binary Sentiment,imdb,deepseek-r1:32b,deepseek-r1:32b,50,96.27085455162714,94.94252873563218,#1f77b4,-.,^
IMDB Binary Sentiment,imdb,deepseek-r1:70b,deepseek-r1:70b,0,97.12400097039378,97.01149425287356,#ff7f0e,:,D
IMDB Binary Sentiment,imdb,deepseek-r1:70b,deepseek-r1:70b,5,97.22877452402288,96.7816091954023,#ff7f0e,:,D
IMDB Binary Sentiment,imdb,deepseek-r1:70b,deepseek-r1:70b,10,97.47183092244109,97.47126436781608,#ff7f0e,:,D
IMDB Binary Sentiment,imdb,deepseek-r1:70b,deepseek-r1:70b,20,98.0433312755387,97.93103448275862,#ff7f0e,:,D
IMDB Binary Sentiment,imdb,deepseek-r1:70b,deepseek-r1:70b,30,96.88929909380994,96.55172413793103,#ff7f0e,:,D
IMDB Binary Sentiment,imdb,deepseek-r1:70b,deepseek-r1:70b,40,97.238695310743,97.01149425287356,#ff7f0e,:,D
IMDB Binary Sentiment,imdb,deepseek-r1:70b,deepseek-r1:70b,50,97.34295642876236,96.7816091954023,#ff7f0e,:,D
IMDB Binary Sentiment,imdb,deepseek-r1,DeepSeek-R1,0,77.95043513806023,65.05747126436782,#2E8B57,-,P
IMDB Binary Sentiment,imdb,deepseek-r1,DeepSeek-R1,5,99.31018280617766,99.3103448275862,#2E8B57,-,P
IMDB Binary Sentiment,imdb,deepseek-r1,DeepSeek-R1,10,98.6212927320412,98.6206896551724,#2E8B57,-,P
IMDB Binary Sentiment,imdb,deepseek-r1,DeepSeek-R1,20,98.39042654774788,98.39080459770116,#2E8B57,-,P
IMDB Binary Sentiment,imdb,deepseek-r1,DeepSeek-R1,30,98.8497269678016,98.85057471264368,#2E8B57,-,P
IMDB Binary Sentiment,imdb,deepseek-r1,DeepSeek-R1,40,98.62002652519894,98.6206896551724,#2E8B57,-,P
IMDB Binary Sentiment,imdb,deepseek-r1,DeepSeek-R1,50,98.85030467696276,98.85057471264368,#2E8B57,-,P
Amazon 5-Level Sentiment,amazon,deepseek-r1:8b,deepseek-r1:8b,0,58.27120160065267,54.264972776769504,#9467bd,-,o
Amazon 5-Level Sentiment,amazon,deepseek-r1:8b,deepseek-r1:8b,5,55.985535465818415,50.635208711433755,#9467bd,-,o
Amazon 5-Level Sentiment,amazon,deepseek-r1:8b,deepseek-r1:8b,10,65.41983745103097,60.435571687840294,#9467bd,-,o
Amazon 5-Level Sentiment,amazon,deepseek-r1:8b,deepseek-r1:8b,20,66.96804072663855,62.976406533575314,#9467bd,-,o
Amazon 5-Level Sentiment,amazon,deepseek-r1:8b,deepseek-r1:8b,30,68.42065215088756,64.42831215970962,#9467bd,-,o
Amazon 5-Level Sentiment,amazon,deepseek-r1:8b,deepseek-r1:8b,40,69.60972224226299,66.60617059891108,#9467bd,-,o
Amazon 5-Level Sentiment,amazon,deepseek-r1:8b,deepseek-r1:8b,50,65.87360867693496,61.705989110707804,#9467bd,-,o
Amazon 5-Level Sentiment,amazon,deepseek-r1:14b,deepseek-r1:14b,0,61.894474829370594,58.076225045372055,#8c564b,--,s
Amazon 5-Level Sentiment,amazon,deepseek-r1:14b,deepseek-r1:14b,5,61.60286187666658,57.16878402903811,#8c564b,--,s
Amazon 5-Level Sentiment,amazon,deepseek-r1:14b,deepseek-r1:14b,10,67.60723023890978,63.883847549909255,#8c564b,--,s
Amazon 5-Level Sentiment,amazon,deepseek-r1:14b,deepseek-r1:14b,20,71.25792929076,68.42105263157895,#8c564b,--,s
Amazon 5-Level Sentiment,amazon,deepseek-r1:14b,deepseek-r1:14b,30,78.49979267037051,76.40653357531761,#8c564b,--,s
Amazon 5-Level Sentiment,amazon,deepseek-r1:14b,deepseek-r1:14b,40,75.10826395053853,72.23230490018149,#8c564b,--,s
Amazon 5-Level Sentiment,amazon,deepseek-r1:14b,deepseek-r1:14b,50,76.89981026041349,74.77313974591652,#8c564b,--,s
Amazon 5-Level Sentiment,amazon,deepseek-r1:32b,deepseek-r1:32b,0,68.95134034197599,64.97277676950998,#1f77b4,-.,^
Amazon 5-Level Sentiment,amazon,deepseek-r1:32b,deepseek-r1:32b,5,72.45859020961304,69.32849364791288,#1f77b4,-.,^
Amazon 5-Level Sentiment,amazon,deepseek-r1:32b,deepseek-r1:32b,10,75.64700656872813,72.95825771324864,#1f77b4,-.,^
Amazon 5-Level Sentiment,amazon,deepseek-r1:32b,deepseek-r1:32b,20,75.95510970676933,73.68421052631578,#1f77b4,-.,^
Amazon 5-Level Sentiment,amazon,deepseek-r1:32b,deepseek-r1:32b,30,77.19843235496208,74.9546279491833,#1f77b4,-.,^
Amazon 5-Level Sentiment,amazon,deepseek-r1:32b,deepseek-r1:32b,40,78.64127153054416,77.13248638838476,#1f77b4,-.,^
Amazon 5-Level Sentiment,amazon,deepseek-r1:32b,deepseek-r1:32b,50,80.45380859332657,78.94736842105263,#1f77b4,-.,^
Amazon 5-Level Sentiment,amazon,deepseek-r1:70b,deepseek-r1:70b,0,64.06323475326752,59.89110707803993,#ff7f0e,:,D
Amazon 5-Level Sentiment,amazon,deepseek-r1:70b,deepseek-r1:70b,5,66.6792285424197,62.794918330308526,#ff7f0e,:,D
Amazon 5-Level Sentiment,amazon,deepseek-r1:70b,deepseek-r1:70b,10,70.24722710099421,66.78765880217786,#ff7f0e,:,D
Amazon 5-Level Sentiment,amazon,deepseek-r1:70b,deepseek-r1:70b,20,71.35326803917954,68.05807622504537,#ff7f0e,:,D
Amazon 5-Level Sentiment,amazon,deepseek-r1:70b,deepseek-r1:70b,30,73.75725692750869,70.78039927404718,#ff7f0e,:,D
Amazon 5-Level Sentiment,amazon,deepseek-r1:70b,deepseek-r1:70b,40,70.21469952035629,67.33212341197822,#ff7f0e,:,D
Amazon 5-Level Sentiment,amazon,deepseek-r1:70b,deepseek-r1:70b,50,72.08770514156365,68.96551724137932,#ff7f0e,:,D
Amazon 5-Level Sentiment,amazon,deepseek-r1,DeepSeek-R1,0,78.31349842292119,76.76950998185119,#2E8B57,-,P
Amazon 5-Level Sentiment,amazon,deepseek-r1,DeepSeek-R1,5,82.3263279692024,81.12522686025409,#2E8B57,-,P
Amazon 5-Level Sentiment,amazon,deepseek-r1,DeepSeek-R1,10,81.25600107501816,79.67332123411978,#2E8B57,-,P
Amazon 5-Level Sentiment,amazon,deepseek-r1,DeepSeek-R1,20,84.70465482145545,84.39201451905626,#2E8B57,-,P
Amazon 5-Level Sentiment,amazon,deepseek-r1,DeepSeek-R1,30,91.38766720201608,91.2885662431942,#2E8B57,-,P
Amazon 5-Level Sentiment,amazon,deepseek-r1,DeepSeek-R1,40,86.87457738875277,86.5698729582577,#2E8B57,-,P
Amazon 5-Level Sentiment,amazon,deepseek-r1,DeepSeek-R1,50,83.34882830727919,82.57713248638838,#2E8B57,-,P
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:8b,deepseek-r1:8b,0,21.00249070526023,17.83333333333333,#9467bd,-,o
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:8b,deepseek-r1:8b,5,29.925543556360868,29.666666666666668,#9467bd,-,o
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:8b,deepseek-r1:8b,10,27.769076476343912,27.333333333333332,#9467bd,-,o
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:8b,deepseek-r1:8b,20,30.41153017618432,29.83333333333333,#9467bd,-,o
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:8b,deepseek-r1:8b,30,31.14248466186595,30.666666666666657,#9467bd,-,o
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:8b,deepseek-r1:8b,40,29.73265208722516,29.5,#9467bd,-,o
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:8b,deepseek-r1:8b,50,32.23885888390465,32.16666666666666,#9467bd,-,o
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:14b,deepseek-r1:14b,0,34.012903000059694,32.0,#8c564b,--,s
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:14b,deepseek-r1:14b,5,35.19369611079562,34.66666666666667,#8c564b,--,s
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:14b,deepseek-r1:14b,10,37.26943082769677,37.5,#8c564b,--,s
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:14b,deepseek-r1:14b,20,38.26689301447317,37.33333333333333,#8c564b,--,s
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:14b,deepseek-r1:14b,30,35.3106922528249,34.0,#8c564b,--,s
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:14b,deepseek-r1:14b,40,38.69330938794944,36.83333333333333,#8c564b,--,s
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:14b,deepseek-r1:14b,50,36.99684103342793,35.66666666666667,#8c564b,--,s
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:32b,deepseek-r1:32b,0,34.74889323966393,32.66666666666666,#1f77b4,-.,^
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:32b,deepseek-r1:32b,5,38.11241304929694,37.16666666666666,#1f77b4,-.,^
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:32b,deepseek-r1:32b,10,37.79160903975529,37.33333333333333,#1f77b4,-.,^
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:32b,deepseek-r1:32b,20,38.38279522105803,37.5,#1f77b4,-.,^
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:32b,deepseek-r1:32b,30,40.14596782971781,38.5,#1f77b4,-.,^
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:32b,deepseek-r1:32b,40,39.42331016281509,38.16666666666666,#1f77b4,-.,^
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:32b,deepseek-r1:32b,50,41.13581665841763,39.83333333333333,#1f77b4,-.,^
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:70b,deepseek-r1:70b,0,33.97440950309676,33.0,#ff7f0e,:,D
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:70b,deepseek-r1:70b,5,40.3276884246974,40.0,#ff7f0e,:,D
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:70b,deepseek-r1:70b,10,44.56629790538505,44.0,#ff7f0e,:,D
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:70b,deepseek-r1:70b,20,44.00213217665354,43.33333333333333,#ff7f0e,:,D
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:70b,deepseek-r1:70b,30,44.06977916016767,43.16666666666666,#ff7f0e,:,D
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:70b,deepseek-r1:70b,40,43.25182422871054,43.0,#ff7f0e,:,D
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:70b,deepseek-r1:70b,50,42.676350542052774,42.16666666666667,#ff7f0e,:,D
GoEmotions 27-Class Emotion,goemotions,deepseek-r1,DeepSeek-R1,0,42.77381820173785,42.0,#2E8B57,-,P
GoEmotions 27-Class Emotion,goemotions,deepseek-r1,DeepSeek-R1,5,43.8405283768941,43.16666666666666,#2E8B57,-,P
GoEmotions 27-Class Emotion,goemotions,deepseek-r1,DeepSeek-R1,10,46.01945273906429,45.33333333333333,#2E8B57,-,P
GoEmotions 27-Class Emotion,goemotions,deepseek-r1,DeepSeek-R1,20,43.44281124506193,42.66666666666667,#2E8B57,-,P
GoEmotions 27-Class Emotion,goemotions,deepseek-r1,DeepSeek-R1,30,43.31554732597092,42.83333333333333,#2E8B57,-,P
GoEmotions 27-Class Emotion,goemotions,deepseek-r1,DeepSeek-R1,40,43.69473999855194,43.16666666666666,#2E8B57,-,P
GoEmotions 27-Class Emotion,goemotions,deepseek-r1,DeepSeek-R1,50,44.56885048850711,44.16666666666666,#2E8B57,-,P
